COMPANY	RIC	INDEX WEIGHT	PROPERTY TYPE	CAP RANGE	SIZE	LEGACY KEY
Devon Energy Corp	DVN.N	0.002650786				
Diamond Offshore Drilling	DO.N	0.000435674				
Discover Financial Services	DFS.N	0.000907125				
Discovery Communications Inc	DISCA.OQ	0.001170418				
Dominion Resources Inc	D.N	0.002331637				
"Donnelley, R.R. & Sons"	RRD.OQ	0.000358857				
Dover Corp	DOV.N	0.000930436				
Dow Chemical	DOW.N	0.003365098				
Dr Pepper Snapple Group	DPS.N	0.00082172				
"DuPont, E.I. de Nemours"	DD.N	0.003973173				
Duke Energy Corp	DUK.N	0.002226831				
Dun & Bradstreet Corp	DNB.N	0.000350765				
E*TRADE Financial Corp	ETFC.OQ	0.000264763				
EMC Corp	EMC.N	0.004052271				
EOG Resources	EOG.N	0.002289801				
EQT Corporation	EQT.N	0.000522952				
Eastman Chemical Co	EMN.N	0.000532037				
Eastman Kodak Co	EK.N	0.000117451				
Eaton Corp	ETN.N	0.001403598				
Ecolab Inc	ECL.N	0.001065681				
Edison Intl	EIX.N	0.001119638				
El Paso Corp	EP.N	0.000880394				
Electronic Arts	ERTS.OQ	0.000494562				
Emerson Electric Co	EMR.N	0.003805418				
Entergy Corp	ETR.N	0.001287426				
Equifax Inc	EFX.N	0.000393221				
Equity Residential	EQR.N	0.001281136				
Estee Lauder Cos.	EL.N	0.000744432				
Exelon Corp	EXC.N	0.002506087				
Expedia	EXPE.OQ	0.000550717				
Expeditors Intl of WA Inc	EXPD.OQ	0.000969565				
Express Scripts Inc	ESRX.OQ	0.002561342				
Exxon Mobil Corp	XOM.N	0.031927128				
FLIR Systems Inc	FLIR.OQ	0.000407147				
FMC Corp	FMC.N	0.000502049				
FMC Technologies Inc	FTI.N	0.000818144				
Family Dollar Stores Inc	FDO.N	0.000576443				
Fastenal Co	FAST.OQ	0.000723579				
FedEx Corp	FDX.N	0.002530155				
Federated Investors Inc B	FII.N	0.000209906				
Fidelity National Information	FIS.N	0.000669198				
Fifth Third Bancorp (OH)	FITB.OQ	0.00091561				
First Horizon National Corp	FHN.N	0.000205979				
First Solar Inc	FSLR.OQ	0.000685698				
FirstEnergy Corp	FE.N	0.001038257				
Fiserv Inc	FISV.OQ	0.000758479				
Flowserve Corp	FLS.N	0.000513558				
Fluor Corp	FLR.N	0.000817376				
Ford Motor Co	F.N	0.004587131				
Forest Laboratories	FRX.N	0.000887833				
Fortune Brands Inc	FO.N	0.000759448				
Franklin Resources Inc	BEN.N	0.001606303				
Freeport McMoRan Copper & Gold	FCX.N	0.004246396				
Frontier Communications Corp	FTR.N	0.000806873				
GameStop Corp A	GME.N	0.000272097				
Gannett Co Inc	GCI.N	0.000265708				
